ent_id,unique_id,st_code,dist_code,sbd_code,ent_type,name,dem_class,ivlg_count,uvlg_count,town_count,hhld_count,total_pop,male_count,female_count,area_sqkm,pop_per_sqkm_old,pop_per_sqkm_new
1021201152,1021201152T,10,212,01152,SUB-DISTRICT,Mansahi,TOTAL,26,0,0,16564,84257,43777,40480,56.534336261015525,1490.0,1490.3686073360914
1021201152,1021201152R,10,212,01152,SUB-DISTRICT,Mansahi,RURAL,26,0,0,16564,84257,43777,40480,56.534336261015525,1490.0,1490.3686073360914
1021201152,1021201152U,10,212,01152,SUB-DISTRICT,Mansahi,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021201153,1021201153T,10,212,01153,SUB-DISTRICT,Barari,TOTAL,48,40,0,53773,285381,149773,135608,282.3788114780086,1011.0,1010.6317768896241
1021201153,1021201153R,10,212,01153,SUB-DISTRICT,Barari,RURAL,48,40,0,53773,285381,149773,135608,282.3788114780086,1011.0,1010.6317768896241
1021201153,1021201153U,10,212,01153,SUB-DISTRICT,Barari,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021201154,1021201154T,10,212,01154,SUB-DISTRICT,Sameli,TOTAL,23,13,0,16702,84486,44038,40448,108.73838293608092,777.0,776.965756881477
1021201154,1021201154R,10,212,01154,SUB-DISTRICT,Sameli,RURAL,23,13,0,16702,84486,44038,40448,108.73838293608092,777.0,776.965756881477
1021201154,1021201154U,10,212,01154,SUB-DISTRICT,Sameli,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021201155,1021201155T,10,212,01155,SUB-DISTRICT,Kursela,TOTAL,10,20,0,12533,63928,33568,30360,156.0682389177822,410.0,409.61569402777525
1021201155,1021201155R,10,212,01155,SUB-DISTRICT,Kursela,RURAL,10,20,0,12533,63928,33568,30360,156.0682389177822,410.0,409.61569402777525
1021201155,1021201155U,10,212,01155,SUB-DISTRICT,Kursela,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021201156,1021201156T,10,212,01156,SUB-DISTRICT,Manihari,TOTAL,42,20,1,38491,191407,100358,91049,260.0056486172662,736.0,736.1647757189888
1021201156,1021201156R,10,212,01156,SUB-DISTRICT,Manihari,RURAL,42,20,0,33323,164778,86319,78459,248.69564861726622,663.0,662.5688905944129
1021201156,1021201156U,10,212,01156,SUB-DISTRICT,Manihari,URBAN,0,0,1,5168,26629,14039,12590,11.31,2354.0,2354.46507515473
1021201157,1021201157T,10,212,01157,SUB-DISTRICT,Amdabad,TOTAL,42,9,0,32415,167398,86820,80578,177.94979885451565,941.0,940.7035078295179
1021201157,1021201157R,10,212,01157,SUB-DISTRICT,Amdabad,RURAL,42,9,0,32415,167398,86820,80578,177.94979885451565,941.0,940.7035078295179
1021201157,1021201157U,10,212,01157,SUB-DISTRICT,Amdabad,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021300000,1021300000T,10,213,00000,DISTRICT,Madhepura,TOTAL,380,59,3,401289,2001762,1047559,954203,1788.0,1120.0,1119.5536912751677
1021300000,1021300000R,10,213,00000,DISTRICT,Madhepura,RURAL,380,59,0,383856,1913301,1000760,912541,1746.83,1095.0,1095.298912887917
1021300000,1021300000U,10,213,00000,DISTRICT,Madhepura,URBAN,0,0,3,17433,88461,46799,41662,41.17,2149.0,2148.676220548943
1021301158,1021301158T,10,213,01158,SUB-DISTRICT,Gamharia,TOTAL,12,0,0,15970,82522,42950,39572,54.197344649912274,1523.0,1522.6207212373747
1021301158,1021301158R,10,213,01158,SUB-DISTRICT,Gamharia,RURAL,12,0,0,15970,82522,42950,39572,54.197344649912274,1523.0,1522.6207212373747
1021301158,1021301158U,10,213,01158,SUB-DISTRICT,Gamharia,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301159,1021301159T,10,213,01159,SUB-DISTRICT,Singheshwar,TOTAL,26,0,1,27252,134159,70300,63859,134.58594793962234,997.0,996.8276930381032
1021301159,1021301159R,10,213,01159,SUB-DISTRICT,Singheshwar,RURAL,26,0,0,26132,128861,67483,61378,133.32594793962235,967.0,966.5110354839229
1021301159,1021301159U,10,213,01159,SUB-DISTRICT,Singheshwar,URBAN,0,0,1,1120,5298,2817,2481,1.26,4205.0,4204.761904761905
1021301160,1021301160T,10,213,01160,SUB-DISTRICT,Ghailarh,TOTAL,15,1,0,17092,91818,47805,44013,40.19430164485503,2284.0,2284.353658169676
1021301160,1021301160R,10,213,01160,SUB-DISTRICT,Ghailarh,RURAL,15,1,0,17092,91818,47805,44013,40.19430164485503,2284.0,2284.353658169676
1021301160,1021301160U,10,213,01160,SUB-DISTRICT,Ghailarh,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301161,1021301161T,10,213,01161,SUB-DISTRICT,Madhepura,TOTAL,44,1,1,49397,245847,129272,116575,146.61949078712,1677.0,1676.7688844108086
1021301161,1021301161R,10,213,01161,SUB-DISTRICT,Madhepura,RURAL,44,1,0,38820,191375,100292,91083,120.77949078711998,1584.0,1584.4991459461294
1021301161,1021301161U,10,213,01161,SUB-DISTRICT,Madhepura,URBAN,0,0,1,10577,54472,28980,25492,25.84,2108.0,2108.049535603715
1021301162,1021301162T,10,213,01162,SUB-DISTRICT,Shankarpur,TOTAL,9,0,0,22238,106222,55157,51065,157.79717754520692,673.0,673.1552595075328
1021301162,1021301162R,10,213,01162,SUB-DISTRICT,Shankarpur,RURAL,9,0,0,22238,106222,55157,51065,157.79717754520692,673.0,673.1552595075328
1021301162,1021301162U,10,213,01162,SUB-DISTRICT,Shankarpur,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301163,1021301163T,10,213,01163,SUB-DISTRICT,Kumarkhand,TOTAL,58,13,0,50860,243629,127577,116052,302.60184096201016,805.0,805.1140707719163
1021301163,1021301163R,10,213,01163,SUB-DISTRICT,Kumarkhand,RURAL,58,13,0,50860,243629,127577,116052,302.60184096201016,805.0,805.1140707719163
1021301163,1021301163U,10,213,01163,SUB-DISTRICT,Kumarkhand,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301164,1021301164T,10,213,01164,SUB-DISTRICT,Murliganj,TOTAL,35,4,1,43717,214322,112182,102140,166.7578876861456,1285.0,1285.228560842499
1021301164,1021301164R,10,213,01164,SUB-DISTRICT,Murliganj,RURAL,35,4,0,37981,185631,97180,88451,152.68788768614561,1216.0,1215.7545880886762
1021301164,1021301164U,10,213,01164,SUB-DISTRICT,Murliganj,URBAN,0,0,1,5736,28691,15002,13689,14.07,2039.0,2039.1613361762616
1021301165,1021301165T,10,213,01165,SUB-DISTRICT,Gwalpara,TOTAL,50,1,0,24272,126020,65271,60749,181.7199019721088,693.0,693.484855716806
1021301165,1021301165R,10,213,01165,SUB-DISTRICT,Gwalpara,RURAL,50,1,0,24272,126020,65271,60749,181.7199019721088,693.0,693.484855716806
1021301165,1021301165U,10,213,01165,SUB-DISTRICT,Gwalpara,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301166,1021301166T,10,213,01166,SUB-DISTRICT,Bihariganj,TOTAL,23,0,0,27870,135534,70615,64919,123.41857270068493,1098.0,1098.1653493003637
1021301166,1021301166R,10,213,01166,SUB-DISTRICT,Bihariganj,RURAL,23,0,0,27870,135534,70615,64919,123.41857270068493,1098.0,1098.1653493003637
1021301166,1021301166U,10,213,01166,SUB-DISTRICT,Bihariganj,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301167,1021301167T,10,213,01167,SUB-DISTRICT,Kishanganj,TOTAL,38,6,0,37677,189159,99033,90126,97.1757564651395,1947.0,1946.5657575596879
1021301167,1021301167R,10,213,01167,SUB-DISTRICT,Kishanganj,RURAL,38,6,0,37677,189159,99033,90126,97.1757564651395,1947.0,1946.5657575596879
1021301167,1021301167U,10,213,01167,SUB-DISTRICT,Kishanganj,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301168,1021301168T,10,213,01168,SUB-DISTRICT,Puraini,TOTAL,22,9,0,20139,104436,54688,49748,95.96930872464488,1088.0,1088.2229057171576
1021301168,1021301168R,10,213,01168,SUB-DISTRICT,Puraini,RURAL,22,9,0,20139,104436,54688,49748,95.96930872464488,1088.0,1088.2229057171576
1021301168,1021301168U,10,213,01168,SUB-DISTRICT,Puraini,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301169,1021301169T,10,213,01169,SUB-DISTRICT,Alamnagar,TOTAL,28,1,0,36930,175401,92171,83230,185.90637874681664,943.0,943.4910258720936
1021301169,1021301169R,10,213,01169,SUB-DISTRICT,Alamnagar,RURAL,28,1,0,36930,175401,92171,83230,185.90637874681664,943.0,943.4910258720936
1021301169,1021301169U,10,213,01169,SUB-DISTRICT,Alamnagar,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021301170,1021301170T,10,213,01170,SUB-DISTRICT,Chausa,TOTAL,20,23,0,27875,152693,80538,72155,101.05288766536154,1511.0,1511.0206499555522
1021301170,1021301170R,10,213,01170,SUB-DISTRICT,Chausa,RURAL,20,23,0,27875,152693,80538,72155,101.05288766536154,1511.0,1511.0206499555522
1021301170,1021301170U,10,213,01170,SUB-DISTRICT,Chausa,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021400000,1021400000T,10,214,00000,DISTRICT,Saharsa,TOTAL,445,23,1,368979,1900661,997174,903487,1687.0,1127.0,1126.6514522821576
1021400000,1021400000R,10,214,00000,DISTRICT,Saharsa,RURAL,445,23,0,340117,1744121,913883,830238,1665.87,1047.0,1046.9730531193911
1021400000,1021400000U,10,214,00000,DISTRICT,Saharsa,URBAN,0,0,1,28862,156540,83291,73249,21.13,7408.0,7408.424041646947
1021401171,1021401171T,10,214,01171,SUB-DISTRICT,Nauhatta,TOTAL,54,1,0,33453,161784,84347,77437,181.66442715287897,891.0,890.5651069697388
1021401171,1021401171R,10,214,01171,SUB-DISTRICT,Nauhatta,RURAL,54,1,0,33453,161784,84347,77437,181.66442715287897,891.0,890.5651069697388
1021401171,1021401171U,10,214,01171,SUB-DISTRICT,Nauhatta,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021401172,1021401172T,10,214,01172,SUB-DISTRICT,Satar Kataiya,TOTAL,37,1,0,28710,151060,79332,71728,160.26675737293675,943.0,942.5535430812214
1021401172,1021401172R,10,214,01172,SUB-DISTRICT,Satar Kataiya,RURAL,37,1,0,28710,151060,79332,71728,160.26675737293675,943.0,942.5535430812214
1021401172,1021401172U,10,214,01172,SUB-DISTRICT,Satar Kataiya,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021401173,1021401173T,10,214,01173,SUB-DISTRICT,Mahishi,TOTAL,73,8,0,40046,206774,108437,98337,172.48647926890965,1199.0,1198.783817006523
1021401173,1021401173R,10,214,01173,SUB-DISTRICT,Mahishi,RURAL,73,8,0,40046,206774,108437,98337,172.48647926890965,1199.0,1198.783817006523
1021401173,1021401173U,10,214,01173,SUB-DISTRICT,Mahishi,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021401174,1021401174T,10,214,01174,SUB-DISTRICT,Kahara,TOTAL,37,6,1,57253,298345,157515,140830,138.65858420116035,2152.0,2151.6518556627766
1021401174,1021401174R,10,214,01174,SUB-DISTRICT,Kahara,RURAL,37,6,0,28391,141805,74224,67581,117.52858420116036,1207.0,1206.5575448206578
1021401174,1021401174U,10,214,01174,SUB-DISTRICT,Kahara,URBAN,0,0,1,28862,156540,83291,73249,21.13,7408.0,7408.424041646947
1021401175,1021401175T,10,214,01175,SUB-DISTRICT,Saur Bazar,TOTAL,55,1,0,40272,214166,111963,102203,235.63749681915726,909.0,908.8791168256391
1021401175,1021401175R,10,214,01175,SUB-DISTRICT,Saur Bazar,RURAL,55,1,0,40272,214166,111963,102203,235.63749681915726,909.0,908.8791168256391
1021401175,1021401175U,10,214,01175,SUB-DISTRICT,Saur Bazar,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021401176,1021401176T,10,214,01176,SUB-DISTRICT,Patarghat,TOTAL,15,0,0,26842,128322,67197,61125,174.34943428664195,736.0,736.0046823497585
1021401176,1021401176R,10,214,01176,SUB-DISTRICT,Patarghat,RURAL,15,0,0,26842,128322,67197,61125,174.34943428664195,736.0,736.0046823497585
1021401176,1021401176U,10,214,01176,SUB-DISTRICT,Patarghat,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021401177,1021401177T,10,214,01177,SUB-DISTRICT,Sonbarsa,TOTAL,59,0,0,46386,235841,123078,112763,148.63644497409948,1587.0,1586.6969910448026
1021401177,1021401177R,10,214,01177,SUB-DISTRICT,Sonbarsa,RURAL,59,0,0,46386,235841,123078,112763,148.63644497409948,1587.0,1586.6969910448026
1021401177,1021401177U,10,214,01177,SUB-DISTRICT,Sonbarsa,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021401178,1021401178T,10,214,01178,SUB-DISTRICT,Simri Bakhtiarpur,TOTAL,58,2,0,53367,280582,147626,132956,253.1934796981261,1108.0,1108.1722970691358
1021401178,1021401178R,10,214,01178,SUB-DISTRICT,Simri Bakhtiarpur,RURAL,58,2,0,53367,280582,147626,132956,253.1934796981261,1108.0,1108.1722970691358
1021401178,1021401178U,10,214,01178,SUB-DISTRICT,Simri Bakhtiarpur,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021401179,1021401179T,10,214,01179,SUB-DISTRICT,Salkhua,TOTAL,39,4,0,24785,132844,69953,62891,157.0565806474658,846.0,845.8352999431833
1021401179,1021401179R,10,214,01179,SUB-DISTRICT,Salkhua,RURAL,39,4,0,24785,132844,69953,62891,157.0565806474658,846.0,845.8352999431833
1021401179,1021401179U,10,214,01179,SUB-DISTRICT,Salkhua,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
